name,ascii_str,ascii_str_get,getter,getter_type,setter,setter_type,setter_range ,doc,subsystem,is_config,setter_inputs,getter_inputs
phase_shift,PHAS,,TRUE,float,TRUE,float,"[-360.0,729.99]",The PHAS command sets or queries the reference phase shift.,Reference and Phase commands,,,
ref_source,FMOD,,TRUE,int,TRUE,int,"[0,1]",The FMOD command sets or queries the reference source. The parameter i selects internal (i=1) or external (i=0).,Reference and Phase commands,,,
ref_freq,FREQ,,TRUE,float,TRUE,float,"[0.001, 102000]",The FREQ command sets or queries the reference frequency.,Reference and Phase commands,,,
ref_trig,RSLP,,TRUE,int,TRUE,int,"[0,2]","The RSLP command sets or queries the reference trigger when using the
external reference mode. ",Reference and Phase commands,,,
harmonic,HARM,,TRUE,int,TRUE,int,"[1,19999]",The HARM command sets or queries the detection harmonic.,Reference and Phase commands,,,
sine_out,SLVL,,TRUE,float,TRUE,float,"[0.004,5.000]",The SLVL command sets or queries the amplitude of the sine output.,Reference and Phase commands,,,
in_conf,ISRC,,TRUE,int,TRUE,int,"[0,3]",The ISRC command sets or queries the input configuration.,Input and Filter commands,,,
in_shield_gnd,IGND,,TRUE,int,TRUE,int,"[0,1]",The IGND command sets or queries the input shield grounding.,Input and Filter commands,,,
in_coupling,ICPL,,TRUE,int,TRUE,int,"[0,1]",The ICPL command sets or queries the input coupling. AC (i=0) or DC (i=1).,Input and Filter commands,,,
in_line_notch_stat,ILIN,,TRUE,int,TRUE,int,"[0,3]",The ILIN command sets or queries the input line notch filter status.,Input and Filter commands,,,
sensitivity,SENS,,TRUE,int,TRUE,int,"[0,26]",The SENS command sets or queries the sensitivity. ,Gain and Time Constant commands,,,
reserve_mode,RMOD,,TRUE,int,TRUE,int,"[0,2]","The RMOD command sets or queries the reserve mode.  High Reserve (i=0), Normal (i=1) or Low Noise (minimum) (i=2).",Gain and Time Constant commands,,,
time_const,OFLT,,TRUE,int,TRUE,int,"[0,19]",The OFLT command sets or queries the time constant.,Gain and Time Constant commands,,,
low_pass_filter_slope,OFSL,,TRUE,int,TRUE,int,"[0,3]","The OFSL command sets or queries the low pass filter slope. 6 dB/oct (i=0), 12 dB/oct (i=1), 18 dB/oct (i=2) or
24 dB/oct (i=3).",Gain and Time Constant commands,,,
synch_filter_status,SYNC,,TRUE,int,TRUE,int,"[0,1]",The SYNC command sets or queries the synchronous filter status.,Gain and Time Constant commands,,,
select_ch,"DDEF {i}, {j}, {k}",DDEF ? {i},TRUE,int,TRUE,int,"[0,4]",The DDEF command selects the CH1 and CH2 displays.,Display and Output commands,TRUE,3,1
f_panel_out_source,"FPOP {i}, {j}",FPOP ? {i},TRUE,int,TRUE,int,"[0,1]","The FPOP command sets or queries the front panel (CH1 and CH2)
output sources.",Display and Output commands,TRUE,2,1
out_off,"OEXP {i}, {x}, {j}",OEXP ? {i},TRUE,int,TRUE,int,"[1,2]","The OEXP command sets or queries the output offsets and expands.X (i=1), Y (i=2) or R (i=3) and is required.",Display and Output commands,TRUE,3,1
